column_id,description
1,time_BodyMotion_Accelerometer_Xaxis_Mean
2,time_BodyMotion_Accelerometer_Yaxis_Mean
3,time_BodyMotion_Accelerometer_Zaxis_Mean
41,time_GravityAcceleration_Accelerometer_Xaxis_Mean
42,time_GravityAcceleration_Accelerometer_Yaxis_Mean
43,time_GravityAcceleration_Accelerometer_Zaxis_Mean
81,time_BodyMotion_Accelerometer_Jerk_Xaxis_Mean
82,time_BodyMotion_Accelerometer_Jerk_Yaxis_Mean
83,time_BodyMotion_Accelerometer_Jerk_Zaxis_Mean
121,time_BodyMotion_Gyroscope_Xaxis_Mean
122,time_BodyMotion_Gyroscope_Yaxis_Mean
123,time_BodyMotion_Gyroscope_Zaxis_Mean
161,time_BodyMotion_Gyroscope_Jerk_Xaxis_Mean
162,time_BodyMotion_Gyroscope_Jerk_Yaxis_Mean
163,time_BodyMotion_Gyroscope_Jerk_Zaxis_Mean
201,time_BodyMotion_Accelerometer_Magnitude_Mean
214,time_GravityAcceleration_Accelerometer_Magnitude_Mean
227,time_BodyMotion_Accelerometer_Jerk_Magnitude_Mean
240,time_BodyMotion_Gyroscope_Magnitude_Mean
253,time_BodyMotion_Gyroscope_Jerk_Magnitude_Mean
266,frequency_BodyMotion_Accelerometer_Xaxis_Mean
267,frequency_BodyMotion_Accelerometer_Yaxis_Mean
268,frequency_BodyMotion_Accelerometer_Zaxis_Mean
345,frequency_BodyMotion_Accelerometer_Jerk_Xaxis_Mean
346,frequency_BodyMotion_Accelerometer_Jerk_Yaxis_Mean
347,frequency_BodyMotion_Accelerometer_Jerk_Zaxis_Mean
424,frequency_BodyMotion_Gyroscope_Xaxis_Mean
425,frequency_BodyMotion_Gyroscope_Yaxis_Mean
426,frequency_BodyMotion_Gyroscope_Zaxis_Mean
503,frequency_BodyMotion_Accelerometer_Magnitude_Mean
516,frequency_BodyMotion_Accelerometer_Jerk_Magnitude_Mean
529,frequency_BodyMotion_Gyroscope_Magnitude_Mean
542,frequency_BodyMotion_Gyroscope_Jerk_Magnitude_Mean
4,time_BodyMotion_Accelerometer_Xaxis_StandardDeviation
5,time_BodyMotion_Accelerometer_Yaxis_StandardDeviation
6,time_BodyMotion_Accelerometer_Zaxis_StandardDeviation
44,time_GravityAcceleration_Accelerometer_Xaxis_StandardDeviation
45,time_GravityAcceleration_Accelerometer_Yaxis_StandardDeviation
46,time_GravityAcceleration_Accelerometer_Zaxis_StandardDeviation
84,time_BodyMotion_Accelerometer_Jerk_Xaxis_StandardDeviation
85,time_BodyMotion_Accelerometer_Jerk_Yaxis_StandardDeviation
86,time_BodyMotion_Accelerometer_Jerk_Zaxis_StandardDeviation
124,time_BodyMotion_Gyroscope_Xaxis_StandardDeviation
125,time_BodyMotion_Gyroscope_Yaxis_StandardDeviation
126,time_BodyMotion_Gyroscope_Zaxis_StandardDeviation
164,time_BodyMotion_Gyroscope_Jerk_Xaxis_StandardDeviation
165,time_BodyMotion_Gyroscope_Jerk_Yaxis_StandardDeviation
166,time_BodyMotion_Gyroscope_Jerk_Zaxis_StandardDeviation
202,time_BodyMotion_Accelerometer_Magnitude_StandardDeviation
215,time_GravityAcceleration_Accelerometer_Magnitude_StandardDeviation
228,time_BodyMotion_Accelerometer_Jerk_Magnitude_StandardDeviation
241,time_BodyMotion_Gyroscope_Magnitude_StandardDeviation
254,time_BodyMotion_Gyroscope_Jerk_Magnitude_StandardDeviation
269,frequency_BodyMotion_Accelerometer_Xaxis_StandardDeviation
270,frequency_BodyMotion_Accelerometer_Yaxis_StandardDeviation
271,frequency_BodyMotion_Accelerometer_Zaxis_StandardDeviation
348,frequency_BodyMotion_Accelerometer_Jerk_Xaxis_StandardDeviation
349,frequency_BodyMotion_Accelerometer_Jerk_Yaxis_StandardDeviation
350,frequency_BodyMotion_Accelerometer_Jerk_Zaxis_StandardDeviation
427,frequency_BodyMotion_Gyroscope_Xaxis_StandardDeviation
428,frequency_BodyMotion_Gyroscope_Yaxis_StandardDeviation
429,frequency_BodyMotion_Gyroscope_Zaxis_StandardDeviation
504,frequency_BodyMotion_Accelerometer_Magnitude_StandardDeviation
517,frequency_BodyMotion_Accelerometer_Jerk_Magnitude_StandardDeviation
530,frequency_BodyMotion_Gyroscope_Magnitude_StandardDeviation
543,frequency_BodyMotion_Gyroscope_Jerk_Magnitude_StandardDeviation
